id,name,barcode,category
67a86e44-ffa8-4f2f-8a4a-0dc1170aa015,Molho P / Ração +Dog 250g,7898641521144,Petiscos
0d2a231a-6f65-41ea-a844-50c742eb0f92,Monovin A 20ml,7897614100270,Vitaminas
8a0bb682-a9c0-4e4b-950a-76b015efa43a,Mypet Aerosol 400ml,7898043430174,Antiparasitario
4f611fd6-43e2-4d1f-a96b-d53a11d7f4d8,N / D Ancestral Adulto Senior Frango Med 10kg,,Nd Caes Frasco
6414085b-8c68-4597-8fe5-90abde708917,N / D Ancestral Can.Frango Adt Medium 15kg,,Nd Caes Frasco
afd69a75-8198-41b0-be28-e6a1e21befa0,N / D Brown Caes Adulto Rp Cordeiro 2kg,7898604437161,Nd Caes Frasco
789fa60b-88bb-4e93-9aed-f6bc993f3ca2,N / D Lata Oceano E Bacalhau Fil 140g,8606014102925,Rações Úmidas Cães
af65cdc4-bf27-4423-9cd3-3b892ccb89f5,"N / D Prime Cordeiro Caes Adulto Mini 2,5kg",7898604433019,Nd Caes Frasco
0023b6b0-e58a-43bb-a1b5-d1f6b49ce1f1,"N / D Pumpkin Caes Adulto Mini Pei X E 2,5kg",7898939952377,Nd Caes Frasco
9b0cd976-7313-432f-8819-91236c523bc0,"N / D Quinoa Hairball Gato Adulto 1,5kg",7898604435686,Nd Gatos Frasco
bc86027f-32b5-4a41-adde-aeaea5274a16,N / D Spirulina Caes Adulto Mini Cordeiro 2kg,7898604436980,Nd Caes Frasco
282f0d5f-eaf2-42bc-9a24-2da87c7f556e,N / D Spirulina Caes Adulto Rp Suino 2kg,7898604436966,Nd Caes Frasco
2562a6b0-5535-4bb7-b64b-c5340cfd93b6,"N / D Tropical Select Caes Adulto Med / Ma X I Salmao 2,5kg",7898604437215,Nd Caes Frasco
411765d2-2d4d-4bed-9315-00442e087148,"N / D Tropical Select Caes Adulto Mini Cordeiro 2,5kg",7898604437260,Nd Caes Frasco
a9bd057c-c527-4fbe-99f2-cfa005d0d9f0,"N / D Tropical Select Caes Adulto Mini Frango 2,5kg",7898604437239,Nd Caes Frasco
0164327e-22dd-4608-b1ca-e0ef63f04ecc,"N / D Tropical Select Caes Adulto Mini Salmao 2,5kg",7898604437246,Nd Caes Frasco
4e992452-315b-48df-879f-c68cb038fd0c,"N / D Tropical Select Caes Adulto Mini Suino 2,5kg",7898604437253,Nd Caes Frasco
e21ccdac-bb54-4892-afad-103d784c4f4a,"N / D Tropical Select Caes Fil Mini Suino 2,5kg",7898604437307,Nd Caes Frasco
ad983ff7-3426-43f4-83bb-dd0f8c198ec7,"N / D Tropical Select Gato Cast Cord 1,5kg",7898604436744,Nd Gatos Frasco
24a3a1cd-5d39-4c6e-9f6b-39d61c9f9da6,"N / D Tropical Select Gato Cast Suino 1,5kg",7898604436782,Nd Gatos Frasco
df0d9c3f-ab42-41ec-943e-e5bcf405dd32,"N / D Tropical Select Gato Frango 1,5kg",7898604436829,Nd Gatos Frasco
9276ac35-f719-4168-9b0e-f8bcac123828,N / D White Caes Adulto Rp 2kg,7898604437154,Nd Caes Frasco
7c9383ab-c94f-4d02-ad5c-4495e72274e4,Nalyt Baby Amgercal Fil Passaros Aarao 10g,7898907668194,Tratamentos Aves
1ce30ea8-7e26-4c97-9e2e-8b74abe43701,Natalene 25ml,7897515653400,Tratamentos Otológicos
182f04f3-2ee3-4928-a4ca-35bed7f54d34,Natu Vit 240ml,7898254040063,Vitaminas
59617b28-45ab-4b1e-9a66-bc864f8c92b6,Natuflin Antibiotico C / 10 Comprimido,7898254040186,Antibióticos
999ce6fa-8419-40bd-ad06-94be6bd86015,Naturalis Adulto Rg Frango E Peru 20kg,,Naturalis Caes Frasco
2bde35f5-bf70-46ae-954b-12ae2726360d,Naturalis Filhote Frango Peru E Frutas 15kg,,Naturalis Caes Frasco
f6cd410d-30ea-45d9-9712-3fc0e40e379e,Naturalis Gato Adulto Salmao E Frutas 3kg,7896588944743,Naturalis Gatos Frasco
